number,name,form,classification,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,XD,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu!,Let's Go Eevee!,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
248,Tyranitar,,,Rock,Dark,Sand Stream,,Unnerve,,,—,—,—,—,E,E,E,Ev,Ev,E,E,Ev,S,E,E,T,E,E,E,C,C,C,C,FSE,E,Ev,Ev,T,T,E,E,—,—,EVE,C,E,T,—,C,CC
249,Lugia,,Legendary,Psychic,Flying,Pressure,,Multiscale,,,—,—,—,—,C,C,C,Ev,Ev,EV,EV,EV,T,S,T,T,T,C,C,T,T,DR,DR,Ev,Ev,Ev,C,Ev,Ev,Ev,C,—,—,CCDA,DA,T,C,—,CCD,CD
250,Ho-Oh,,Legendary,Water,Flying,Pressure,,Regenerator,,,—,—,—,—,C,C,C,Ev,Ev,EV,EV,EV,R,T,T,T,T,C,C,T,T,DR,DR,T,T,C,Ev,Ev,Ev,C,T,—,—,DA,CCDA,C,T,—,CD,CCD
251,Celebi,,Mythical,Psychic,Grass,Natural Cure,,,,,—,—,—,—,Ev,Ev,C*,Ev,Ev,Ev,Ev,Ev,T,T,Ev,Ev,Ev,Ev,Ev,T,T,T,T,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,—,—,Ev,Ev,T,T,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Treecko,,,Grass,,Overgrow,,Unburden,,253,—,—,—,—,—,—,—,R,R,Ev,Ev,R,T,T,T,T,T,R,R,Ev,Ev,T,T,T,T,R,R,T,T,B,B,—,—,BD,BD,C,C,—,CD,CD
253,Grovyle,,,Grass,,Overgrow,,Unburden,252,254,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,T,T,T,E,E,EvE,EvE,T,T,T,T,E,E,T,T,S,S,—,—,DA,DA,E,E,—,ED,ED
254,Sceptile,,,Grass,,Overgrow,,Unburden,253,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,T,T,T,E,E,Ev,Ev,T,T,T,T,E,E,T,T,E,E,—,—,DA,DA,E,E,—,ED,ED
255,Torchic,,,Fire,,Blaze,,Speed Boost,,256,—,—,—,—,—,—,—,R,R,Ev,Ev,R,T,T,T,T,T,R,R,Ev,Ev,T,T,Ev,Ev,R,R,T,T,B,B,—,—,BD,BD,C,C,—,CD,CD
256,Combusken,,,Fire,Fighting,Blaze,,Speed Boost,255,257,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,T,T,T,E,E,EvE,EvE,T,T,EvE,EvE,E,E,T,T,S,S,—,—,DA,DA,E,E,—,ED,ED
257,Blaziken,,,Fire,Fighting,Blaze,,Speed Boost,256,,—,—,—,—,—,—,—,E,E,Ev,Ev,E,T,T,T,T,T,E,E,Ev,Ev,T,T,EvE,EvE,E,E,T,T,E,E,—,—,DA,DA,E,E,—,ED,ED
258,Mudkip,,,Water,,Torrent,,Damp,,259,—,—,—,—,—,—,—,R,R,Ev,Ev,R,T,T,T,T,T,R,R,Ev,Ev,T,T,T,T,R,R,T,T,B,B,—,—,BD,BD,C,C,—,CD,CD
259,Marshtomp,,,Water,Ground,Torrent,,Damp,258,260,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,T,T,T,E,E,EvE,EvE,T,T,T,T,E,E,T,T,S,S,—,—,DA,DA,E,E,—,ED,ED
260,Swampert,,,Water,Ground,Torrent,,Damp,259,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,T,T,T,E,E,Ev,Ev,T,T,T,T,E,E,T,T,E,E,—,—,DA,DA,E,E,—,ED,ED
261,Poochyena,,,Dark,,Run Away,Quick Feet,Rattled,,262,—,—,—,—,—,—,—,C,C,T,T,C,T,S,B,T,C,S,S,DW,S,DW,DW,B,FSB,C,C,T,T,EvB,EvB,—,—,—,—,C,C,—,CD,CD
262,Mightyena,,,Dark,,Intimidate,Quick Feet,Moxie,261,,—,—,—,—,—,—,—,E,E,T,T,C,T,E,C,T,E,E,E,DWE,E,DWE,DWE,C,FS,E,E,T,T,Ev,Ev,—,—,—,—,C,C,—,CD,CD
263a,Zigzagoon,Normal,,Normal,,Pickup,Gluttony,Quick Feet,,264a,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,S,S,S,C,C,DW,DW,DW,DW,C,C,C,C,T,T,T,T,—,—,RD,RD,C,C,—,—,—
263b,Zigzagoon,Galarian,,Dark,Normal,Pickup,Gluttony,Quick Feet,,264b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
264a,Linoone,Normal,,Normal,,Pickup,Gluttony,Quick Feet,263a,,—,—,—,—,—,—,—,C,C,EvE,EvE,C,T,T,E,E,E,C,C,DWE,DWE,DWE,DWE,E,E,C,C,T,T,T,T,—,—,ED,ED,E,E,—,—,—
264b,Linoone,Galarian,,Dark,Normal,Pickup,Gluttony,Quick Feet,263b,862,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
265,Wurmple,,,Bug,,Shield Dust,,Run Away,,"266,268",—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,C,C,DW,C,DW,DW,FSB,FSB,C,C,T,T,T,T,—,—,—,—,C,C,C,—,—
266,Silcoon,,,Bug,,Shed Skin,,,265,267,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,E,C,C,C,DWE,E,DWE,DWE,FSB,FSB,C,C,T,T,T,T,—,—,—,—,C,E,C,—,—
267,Beautifly,,,Bug,Flying,Swarm,,Rivalry,266,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,C,C,C,C,C,DWE,E,DWE,DWE,FS,FS,E,E,T,T,T,T,—,—,—,—,C,C,C,—,—
268,Cascoon,,,Bug,,Shed Skin,,,265,269,—,—,—,—,—,—,—,C,C,T,T,C,T,T,E,C,C,C,C,DWE,E,DWE,DWE,FS,FS,C,C,T,T,T,T,—,—,—,—,E,C,C,—,—
269,Dustox,,,Bug,Poison,Shield Dust,,Compound Eyes,268,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,C,C,C,C,DWE,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,—,—,—,—,E,C,C,—,—
270,Lotad,,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,,271,—,—,—,—,—,—,—,Ev,C,Ev,Ev,C,T,T,D,D,D,C,C,DW,C,B,B,B,B,T,C,T,T,B,B,—,—,T,C,T,C,—,CD,CD
271,Lombre,,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,270,272,—,—,—,—,—,—,—,EvE,C,EvE,EvE,C,T,T,D,D,D,C,C,DWE,E,C,C,C,C,T,C,T,T,C,C,—,—,T,C,T,C,—,CD,CD
272,Ludicolo,,,Water,Grass,Swift Swim,Rain Dish,Own Tempo,271,,—,—,—,—,—,—,—,Ev,E,EvE,EvE,E,T,T,DE,DE,DE,E,E,DWE,E,E,E,E,E,T,E,T,T,E,E,—,—,T,C,T,E,—,CD,CD
273,Seedot,,,Grass,,Chlorophyll,Early Bird,Pickpocket,,274,—,—,—,—,—,—,—,C,CCS,Ev,Ev,C,T,S,D,D,D,C,C,DW,C,CCB,CCB,FSB,FSB,C,T,T,T,B,B,—,—,C,T,C,T,—,CD,CD
274,Nuzleaf,,,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,273,275,—,—,—,—,—,—,—,C,CCS,EvE,EvE,C,T,E,D,D,D,C,C,DWE,E,CC,CC,FS,FS,C,T,T,T,C,C,—,—,C,T,C,T,—,CD,CD
275,Shiftry,,,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,274,,—,—,—,—,—,—,—,E,CCE,EvE,EvE,E,T,E,DE,DE,DE,E,E,DWE,E,CC,CC,FSE,FSE,E,T,T,T,E,E,—,—,C,T,E,T,—,CD,CD
276,Taillow,,,Normal,Flying,Guts,,Scrappy,,277,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,B,B,B,C,C,B,B,B,B,C,C,C,C,T,T,B,B,—,—,—,—,B,B,—,—,—
277,Swellow,,,Normal,Flying,Guts,,Scrappy,276,,—,—,—,—,—,—,—,C,C,EvE,EvE,C,T,S,C,C,C,E,E,C,C,S,S,E,E,E,E,T,T,C,C,—,—,—,—,C,C,—,—,—
278,Wingull,,,Water,Flying,Keen Eye,Hydration,Rain Dish,,279,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,S,S,C,C,B,B,C,C,C,C,C,C,C,C,—,—,C,C,C,C,—,C,C
279,Pelipper,,,Water,Flying,Keen Eye,Drizzle,Rain Dish,278,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,E,E,C,C,C,C,E,E,C,C,C,C,C,C,—,—,C,C,C,C,—,C,C
280,Ralts,,,Psychic,Fairy,Synchronize,Trace,Telepathy,,281,—,—,—,—,—,—,—,C,C,T,T,C,T,S,C,C,C,S,S,DW,C,R,R,C,C,C,C,T,T,S,S,—,—,C,C,C,C,C,C,C
281,Kirlia,,,Psychic,Fairy,Synchronize,Trace,Telepathy,280,"282,475",—,—,—,—,—,—,—,E,E,T,T,E,T,E,C,C,C,E,E,DWE,E,E,E,E,E,E,E,T,T,E,E,—,—,C,C,C,C,C,C,C
282,Gardevoir,,,Psychic,Fairy,Synchronize,Trace,Telepathy,281,,—,—,—,—,—,—,—,E,E,T,T,E,T,E,E,E,E,E,E,DWE,E,E,E,E,E,E,E,T,T,E,E,—,—,C,C,E,E,C,C,C
283,Surskit,,,Bug,Water,Swift Swim,,Rain Dish,,284,—,—,—,—,—,—,—,C,C,Ev,Ev,CCS,T,C,S,S,C,C,C,DW,C,B,B,B,B,C,C,C,C,C,C,—,—,—,—,C,C,—,C,C
284,Masquerain,,,Bug,Flying,Intimidate,,Unnerve,283,,—,—,—,—,—,—,—,E,E,EvE,EvE,CCE,T,E,E,E,C,C,C,DWE,E,S,S,C,C,C,C,C,C,C,C,—,—,—,—,E,E,—,C,C
285,Shroomish,,,Grass,,Effect Spore,Poison Heal,Quick Feet,,286,—,—,—,—,—,—,—,C,C,T,T,C,T,S,S,S,S,C,C,S,DW,B,B,FSB,FSB,C,C,T,T,T,T,—,—,—,—,S,S,—,C,C
286,Breloom,,,Grass,Fighting,Effect Spore,Poison Heal,Technician,285,,—,—,—,—,—,—,—,E,E,T,T,E,T,E,E,E,E,C,C,E,DWE,C,C,FS,FS,E,E,T,T,T,T,—,—,—,—,E,E,—,C,C
287,Slakoth,,,Normal,,Truant,,,,288,—,—,—,—,—,—,—,C,C,T,T,C,T,T,S,S,S,C,C,DW,C,B,B,T,T,C,C,B,B,T,T,—,—,—,—,S,S,—,C,C
288,Vigoroth,,,Normal,,Vital Spirit,,,287,289,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,C,C,DWE,E,C,C,T,T,E,E,S,S,T,T,—,—,—,—,E,E,—,C,C
289,Slaking,,,Normal,,Truant,,,288,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,E,E,DWE,E,C,C,T,T,E,E,E,E,T,T,—,—,—,—,E,E,—,C,C
290,Nincada,,,Bug,Ground,Compound Eyes,,Run Away,,"291,292",—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,T,T,T,T,—,—,C,C,C,C,—,—,—
291,Ninjask,,,Bug,Flying,Speed Boost,,Infiltrator,290,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,E,E,DWE,DWE,DWE,DWE,E,E,E,E,T,T,T,T,—,—,C,C,E,E,—,—,—
292,Shedinja,,,Bug,Ghost,Wonder Guard,,,290,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,E,E,DWE,DWE,DWE,DWE,E,E,E,E,T,T,T,T,—,—,D,D,E,E,—,—,—
293,Whismur,,,Normal,,Soundproof,,Rattled,,294,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,B,B,B,C,C,DW,C,DW,DW,C,C,C,C,T,T,T,T,—,—,CD,CD,B,B,—,—,—
294,Loudred,,,Normal,,Soundproof,,Scrappy,293,295,—,—,—,—,—,—,—,C,C,EvE,EvE,C,T,T,C,C,C,E,E,DWE,E,DWE,DWE,E,E,C,C,T,T,T,T,—,—,CD,CD,C,C,—,—,—
295,Exploud,,,Normal,,Soundproof,,Scrappy,294,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,—,—,DD,DD,E,E,—,—,—
296,Makuhita,,,Fighting,,Thick Fat,Guts,Sheer Force,,297,—,—,—,—,—,—,—,C,C,T,T,C,S,S,S,S,S,C,C,DW,DW,B,B,B,B,C,C,C,C,C,C,—,—,—,—,S,S,—,C,C
297,Hariyama,,,Fighting,,Thick Fat,Guts,Sheer Force,296,,—,—,—,—,—,—,—,C,C,T,T,C,E,E,E,E,E,E,E,DWE,DWE,C,C,C,C,C,C,C,C,C,C,—,—,—,—,E,E,—,C,C
298,Azurill,,,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,,183,—,—,—,—,—,—,—,B,B,T,B,B,T,T,C,C,C,C,C,DWB,C,C,C,C,C,B,B,B,B,T,T,—,—,CD,CD,C,C,—,C,C
299,Nosepass,,,Rock,,Sturdy,Magnet Pull,Sand Force,,476,—,—,—,—,—,—,—,C,C,T,T,C,T,S,S,S,C,C,C,DW,DW,C,C,C,C,C,C,C,C,C,C,—,—,—,—,S,S,C,CD,CD
300,Skitty,,,Normal,,Cute Charm,Normalize,Wonder Skin,,301,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,S,S,S,PW,PW,DW,DW,DW,C,C,C,C,C,T,T,T,T,—,—,—,—,C,C,—,—,—
301,Delcatty,,,Normal,,Cute Charm,Normalize,Wonder Skin,300,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,S,E,E,E,PWE,PWE,DWE,DWE,DWE,C,E,E,E,E,T,T,T,T,—,—,—,—,E,E,—,—,—
302,Sableye,,,Dark,Ghost,Keen Eye,Stall,Prankster,,,—,—,—,—,—,—,—,Ev,C,Ev,Ev,C,T,S,D,D,D,S,T,C,C,R,R,C,C,Ev,C,C,C,C,C,—,—,T,C,T,C,—,C,C
303,Mawile,,,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,,,—,—,—,—,—,—,—,C,Ev,Ev,Ev,C,T,S,D,D,D,T,S,C,C,R,R,C,C,C,T,T,T,C,C,—,—,C,T,C,T,—,—,—
304,Aron,,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,,305,—,—,—,—,—,—,—,C,C,T,T,C,T,C,C,T,C,C,C,DW,C,C,C,C,EvB,C,C,T,T,B,B,—,—,CD,CD,C,C,—,—,—
305,Lairon,,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,304,306,—,—,—,—,—,—,—,C,C,T,T,C,T,E,E,T,E,C,C,DWE,E,C,C,C,EvB,C,C,T,T,B,B,—,—,CD,CD,C,C,—,—,—
306,Aggron,,,Steel,Rock,Sturdy,Rock Head,Heavy Metal,305,,—,—,—,—,—,—,—,E,E,T,T,E,T,E,E,T,E,E,E,DWE,E,E,E,E,Ev,E,E,T,T,S,S,—,—,CD,CD,E,E,—,—,—
307,Meditite,,,Fighting,Psychic,Pure Power,,Telepathy,,308,—,—,—,—,—,—,—,C,C,Ev,Ev,Ev,S,R,C,C,C,C,C,DW,DW,B,B,C,C,C,C,T,T,B,B,—,—,—,—,C,C,—,C,C
308,Medicham,,,Fighting,Psychic,Pure Power,,Telepathy,307,,—,—,—,—,—,—,—,C,C,EvE,EvE,EvE,E,E,C,C,C,C,C,DWE,DWE,C,C,E,E,C,C,T,T,C,C,—,—,—,—,C,C,—,C,C
309,Electrike,,,Electric,,Static,Lightning Rod,Minus,,309,—,—,—,—,—,—,—,C,C,T,T,C,T,T,S,S,S,C,C,DW,DW,B,B,FSB,C,C,C,T,T,T,C,—,—,C,C,S,S,—,—,—
310,Manectric,,,Electric,,Static,Lightning Rod,Minus,310,,—,—,—,—,—,—,—,C,C,T,T,C,T,S,E,E,E,C,C,DWE,DWE,C,C,FS,E,E,E,T,T,T,C,—,—,C,C,E,E,—,—,—
311,Plusle,,,Electric,,Plus,,Lightning Rod,,,—,—,—,—,—,—,—,C,C,Ev,Ev,C,R,T,S,S,S,C,C,S,DW,S,DW,C,C,C,C,T,T,T,T,—,—,—,—,S,S,—,CD,CD
312,Minun,,,Electric,,Minus,,Volt Absorb,,,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,S,S,S,C,C,DW,S,DW,S,C,C,C,C,T,T,T,T,—,—,—,—,S,S,—,CD,CD
313,Volbeat,,,Bug,,Illuminate,Swarm,Prankster,,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,C,C,S,B,S,B,C,C,C,C,T,T,T,T,—,—,—,—,C,C,—,CD,CD
314,Illumise,,,Bug,,Oblivious,Tinted Lens,Prankster,,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,C,C,B,S,B,S,C,C,C,C,T,T,T,T,—,—,—,—,C,C,—,CD,CD
315,Roselia,,,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,406,407,—,—,—,—,—,—,—,C,C,Ev,Ev,Ev,T,S,C,C,C,C,C,DW,E,C,C,C,C,C,C,S,S,T,T,—,—,C,C,C,C,C,—,—
316,Gulpin,,,Poison,,Liquid Ooze,Sticky Hold,Gluttony,,317,—,—,—,—,—,—,—,C,C,T,T,C,T,S,S,S,S,T,S,DW,DW,B,B,C,C,C,C,T,T,T,T,—,—,—,—,S,S,—,CC,C
317,Swalot,,,Poison,,Liquid Ooze,Sticky Hold,Gluttony,316,,—,—,—,—,—,—,—,E,E,T,T,E,T,E,E,E,E,T,E,DWE,DWE,S,S,E,E,E,E,T,T,T,T,—,—,—,—,E,E,—,CC,C
318,Carvanha,,,Water,Dark,Rough Skin,,Speed Boost,,319,—,—,—,—,—,—,—,C,C,T,T,C,T,S,C,C,C,PW,PW,C,C,C,C,C,C,C,C,B,B,C,C,—,—,CD,CD,C,C,—,—,—
319,Sharpedo,,,Water,Dark,Rough Skin,,Speed Boost,318,,—,—,—,—,—,—,—,C,C,T,T,C,T,E,C,C,E,PWE,PWE,C,C,C,C,C,C,C,C,C,C,C,C,—,—,CD,CD,C,C,—,—,—
320,Wailmer,,,Water,,Water Veil,Oblivious,Pressure,,321,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,PW,PW,C,C,C,C,C,C,C,C,C,C,C,C,—,—,C,C,C,C,—,—,—
321,Wailord,,,Water,,Water Veil,Oblivious,Pressure,320,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,PWE,PWE,C,C,C,C,E,E,E,E,C,C,C,C,—,—,C,C,C,C,—,—,—
322,Numel,,,Fire,Ground,Oblivious,Simple,Own Tempo,,323,—,—,—,—,—,—,—,C,C,T,T,C,T,S,C,C,C,C,C,DW,DW,DW,C,FSB,FSB,C,C,T,T,T,T,—,—,—,—,C,C,—,C,C
323,Camerupt,,,Fire,Ground,Magma Armor,Solid Rock,Anger Point,,322,—,—,—,—,—,—,—,E,E,T,T,E,T,E,C,C,C,E,E,DWE,DW,DWE,C,FS,FS,R,R,T,T,T,T,—,—,—,—,C,C,—,C,C
324,Torkoal,,,Fire,,White Smoke,Drought,Shell Armor,,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,C,C,C,C,—,—,C,C,C,C,—,C,C
325,Spoink,,,Psychic,,Thick Fat,Own Tempo,Gluttony,,326,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,S,S,S,C,C,DW,DW,C,DW,C,C,C,C,T,T,B,B,—,—,—,—,S,S,—,C,C
326,Grumpig,,,Psychic,,Thick Fat,Own Tempo,Gluttony,325,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,E,E,E,E,E,DWE,DWE,C,DWE,E,E,E,E,T,T,C,C,—,—,—,—,E,E,—,C,C
327,Spinda,,,Normal,,Own Tempo,Tangled Feet,Contrary,,,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,S,S,S,C,C,DW,DW,R,R,C,C,C,C,C,C,C,C,—,—,—,—,S,S,—,—,—
328,Trapinch,,,Ground,,Hyper Cutter,Arena Trap,Sheer Force,,329,—,—,—,—,—,—,—,C,C,T,T,C,T,C,C,C,T,C,C,DW,C,C,C,C,C,C,C,C,C,C,C,—,—,C,C,C,C,—,CD,CD
329,Vibrava,,,Ground,Dragon,Levitate,,,328,330,—,—,—,—,—,—,—,E,E,T,T,E,S,E,C,C,T,C,C,DWE,E,C,C,E,E,E,E,E,E,E,E,—,—,D,D,C,C,—,CD,CD
330,Flygon,,,Ground,Dragon,Levitate,,,329,,—,—,—,—,—,—,—,E,E,T,T,E,E,E,E,E,T,E,E,DWE,E,E,E,E,E,E,E,E,E,E,E,—,—,C,C,E,E,—,CD,CD
331,Cacnea,,,Grass,,Sand Veil,,Water Absorb,,332,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,C,C,C,C,C,DW,DW,B,B,FSB,FSB,C,C,T,T,T,T,—,—,—,—,C,C,—,C,C
332,Cacturne,,,Grass,Dark,Sand Veil,,Water Absorb,331,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,C,C,C,C,C,DWE,DWE,S,S,FS,FS,E,E,T,T,T,T,—,—,—,—,C,C,—,C,C
333,Swablu,,,Normal,Flying,Natural Cure,,Cloud Nine,,334,—,—,—,—,—,—,—,C,C,Ev,Ev,C,S,T,C,C,C,S,S,B,B,C,C,C,C,C,C,T,T,B,B,—,—,CD,CD,C,C,—,C,C
334,Altaria,,,Dragon,Flying,Natural Cure,,Cloud Nine,333,,—,—,—,—,—,—,—,C,C,EvE,EvE,C,E,S,E,E,E,E,E,C,C,C,C,C,C,E,E,T,T,C,C,—,—,CD,CD,E,E,—,C,C
335,Zangoose,,,Normal,,Immunity,,Toxic Boost,,,—,—,—,—,—,—,—,C,Ev,Ev,Ev,Ev,T,S,D,D,D,C,C,C,C,C,C,C,C,C,T,T,T,T,T,—,—,—,—,C,T,—,C,C
336,Seviper,,,Poison,,Shed Skin,,Infiltrator,,,—,—,—,—,—,—,—,Ev,C,Ev,Ev,C,T,T,D,D,D,C,C,C,C,C,C,C,C,T,C,T,T,T,T,—,—,—,—,T,C,—,C,C
337,Lunatone,,,Rock,Psychic,Levitate,,,,,—,—,—,—,—,—,—,Ev,C,Ev,Ev,Ev,T,S,D,D,D,C,C,C,C,C,C,C,C,T,C,Ev,Ev,T,T,—,—,T,C,T,C,—,—,—
338,Solrock,,,Rock,Psychic,Levitate,,,,,—,—,—,—,—,—,—,C,Ev,Ev,Ev,C,T,S,D,D,D,C,C,C,C,C,C,C,C,C,T,Ev,Ev,T,T,—,—,C,T,C,T,—,—,—
339,Barboach,,,Water,Ground,Oblivious,Anticipation,Hydration,,340,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—,C,C,C,C,C,C,C
340,Whiscash,,,Water,Ground,Oblivious,Anticipation,Hydration,339,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,E,E,—,—,C,C,C,C,C,C,C
341,Corphish,,,Water,,Hyper Cutter,Shell Armor,Adaptability,,342,—,—,—,—,—,—,—,C,C,Ev,Ev,C,T,T,C,C,C,C,C,DW,C,C,C,C,C,C,C,T,T,C,C,—,—,C,C,C,C,—,CD,CD
342,Crawdaunt,,,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,341,,—,—,—,—,—,—,—,E,E,EvE,EvE,E,T,T,C,C,C,E,E,DWE,E,C,C,C,C,C,C,T,T,C,C,—,—,C,C,C,C,—,CD,CD
343,Baltoy,,,Ground,Psychic,Levitate,,,,344,—,—,—,—,—,—,—,C,C,T,T,C,T,S,C,C,C,S,T,B,B,C,C,T,T,C,C,T,T,T,C,—,—,C,C,C,C,—,—,—
344,Claydol,,,Ground,Psychic,Levitate,,,343,,—,—,—,—,—,—,—,C,C,T,T,C,T,E,E,E,E,E,T,C,C,E,E,T,T,C,C,T,T,T,E,—,—,C,C,E,E,—,—,—
345,Lileep,,,Rock,Grass,Suction Cups,,Storm Drain,,346,—,—,—,—,—,—,—,R,R,T,T,R,T,T,R,R,R,T,R,R,R,R,R,R,T,R,R,T,T,R,R,—,—,CD,CD,R,R,—,—,—
346,Cradily,,,Rock,Grass,Suction Cups,,Storm Drain,345,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,T,E,E,E,E,E,E,T,E,E,T,T,E,E,—,—,DA,DA,E,E,—,—,—
347,Anorith,,,Rock,Bug,Battle Armor,,Swift Swim,,348,—,—,—,—,—,—,—,R,R,T,T,R,T,T,R,R,R,R,T,R,R,R,R,R,T,R,R,T,T,R,R,—,—,CD,CD,R,R,—,—,—
348,Armaldo,,,Rock,Bug,Battle Armor,,Swift Swim,347,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,E,T,E,E,E,E,E,T,E,E,T,T,E,E,—,—,CD,CD,E,E,—,—,—
349,Feebas,,,Water,,Swift Swim,Oblivious,Adaptability,,350,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,C,C,PW,PW,C,C,C,C,T,T,C,C,C,C,C,C,—,—,C,C,C,C,—,CD,CD
350,Milotic,,,Water,,Marvel Scale,Competitive,Cute Charm,349,,—,—,—,—,—,—,—,E,E,T,T,E,T,T,E,E,E,PWE,PWE,C,C,C,C,T,T,E,E,ET,ET,ET,ET,—,—,C,C,E,E,—,CD,CD
351a,Castform,Normal,,Normal,,Forecast,,,,,—,—,—,—,—,—,—,R,R,T,T,R,T,T,S,S,S,PW,PW,DW,DW,C,C,T,T,R,R,C,C,C,C,—,—,—,—,S,S,—,—,—
351b,Castform,Sunny Form,,Fire,,Forecast,,,,,—,—,—,—,—,—,—,R,R,T,T,R,T,T,S,S,S,PW,PW,DW,DW,C,C,T,T,R,R,C,C,C,C,—,—,—,—,S,S,—,—,—
351c,Castform,Rainy Form,,Water,,Forecast,,,,,—,—,—,—,—,—,—,R,R,T,T,R,T,T,S,S,S,PW,PW,DW,DW,C,C,T,T,R,R,C,C,C,C,—,—,—,—,S,S,—,—,—
351d,Castform,Snowy Form,,Ice,,Forecast,,,,,—,—,—,—,—,—,—,R,R,T,T,R,T,T,S,S,S,PW,PW,DW,DW,C,C,T,T,R,R,C,C,C,C,—,—,—,—,S,S,—,—,—
352,Kecleon,,,Normal,,Color Change,,Protean,,,—,—,—,—,—,—,—,C,C,T,T,C,T,T,C,T,S,PW,PW,DW,DW,CC,CC,C,C,C,C,T,T,C,C,—,—,—,—,C,T,—,—,—
353,Shuppet,,,Ghost,,Insomnia,Frisk,Cursed Body,,354,—,—,—,—,—,—,—,C,C,T,T,C,T,T,B,B,B,C,C,S,S,B,B,B,B,C,C,T,T,C,C,—,—,—,—,B,B,—,C,C
